	Object Number	Is Highlight	Is Public Domain	Object ID	Department	Object Name	Title	Culture	Period	Dynasty	Reign	Portfolio	Artist Role	Artist Prefix	Artist Display Name	Artist Display Bio	Artist Suffix	Artist Alpha Sort	Artist Nationality	Artist Begin Date	Artist End Date	Object Date	Object Begin Date	Object End Date	Medium	Dimensions	Credit Line	Geography Type	City	State	County	Country	Region	Subregion	Locale	Locus	Excavation	River	Classification	Rights and Reproduction	Link Resource	Metadata Date	Repository
213488	24.45.1	False	True	339008	Drawings and Prints	Book	Perspectiva Corporum Regularium						Engraver|Artist	after	Jost Amman|Wenzel Jamnitzer	Swiss, Zurich before 1539–1591 Nuremberg|German, Vienna 1507/8–1585 Nuremberg		Amman, Jost|Jamnitzer, Wenzel	Swiss|German	1539      |1507      	1591      |1585      	1568	1568	1568	Etching	Overall: 13 3/4 x 10 1/16 x 3/8in. (35 x 25.5 x 1cm)	Harris Brisbane Dick Fund, 1924		Nuremberg										Books		http://www.metmuseum.org/art/collection/search/339008	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
214139	35.93.1	False	True	339662	Drawings and Prints	Drawing	"Study for Geometry in “The Sorbonne"""						Artist		Pierre Puvis de Chavannes	French, Lyons 1824–1898 Paris		Puvis de Chavannes, Pierre	French	1824      	1898      	1886–87	1886	1887	Fabricated black crayon, squared with blue crayon	10 x 6 7/8 in. (25.4 x 17.5 cm)	Purchase, Fletcher Fund, 1935												Drawings		http://www.metmuseum.org/art/collection/search/339662	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
214140	35.93.2	False	True	339663	Drawings and Prints	Drawing	Seated Figure: Study for “A Vision of Antiquity”						Artist		Pierre Puvis de Chavannes	French, Lyons 1824–1898 Paris		Puvis de Chavannes, Pierre	French	1824      	1898      	1883–85	1883	1885	Fabricated black crayon, squared	14 5/8 x 10 1/4 in. (37.2 x 26 cm)	Purchase, Fletcher Fund, 1935												Drawings		http://www.metmuseum.org/art/collection/search/339663	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
216485	67.660	False	False	342036	Drawings and Prints	Print	0 through 9						Publisher|Artist|Printer	Published by	Universal Limited Art Editions|Jasper Johns|Donn Steward	American, born Augusta, Georgia, 1930		Universal Limited Art Editions|Johns, Jasper|Steward, Donn	American|American 	1950      |1930      	2050      |2030      	1967	1967	1967	Lithograph	25 x 20 inches (63.5 x 50.8 cm.)	John B. Turner Fund, 1967												Prints		http://www.metmuseum.org/art/collection/search/342036	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
223378	1981.1178.10	False	True	349058	Drawings and Prints	Book	Underweysung der messung mit dem zirckel un richt scheyt						Artist|Printer	Printed by	Albrecht Dürer|Hieronymus Andreae, called Formschneyder	German, Nuremberg 1471–1528 Nuremberg|German, 1525–1556		Dürer, Albrecht|Andreae, Hieronymus	German|German	1471      |1525      	1528      |1556      	1525	1525	1525	Woodcut	Overall: 11 x 8 5/16 x 15/16 in. (28 x 21.1 x 2.4 cm)	The George Khuner Collection, Gift of Mrs. George Khuner, 1981												Books		http://www.metmuseum.org/art/collection/search/349058	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
224759	25.30.109	False	False	350456	Drawings and Prints	Book	Summa de Arithmetica						Author|Publisher	Written by|Published by	Francisco di Lionardo Ghaligaio|Bernardo Zucchetta	Italian, active Florence, 1505–23	, Firenze	Ghaligaio, Francisco di Lionardo|Zucchetta, Bernardo	Italian|Italian	1505      	1523      	May 15, 1521	1521	1521			Harris Brisbane Dick Fund, 1925		Florence										Books		http://www.metmuseum.org/art/collection/search/350456	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
227275	25.53.1	False	False	352997	Drawings and Prints	Book	Des Circkels unnd Richtscheyts, auch der Perspectiva und Proportion der Menschen und Rosse, kurtze, doch gründtliche underweisung deß rechten gebrauchs						Artist|Printer|Publisher	Printed by|Published by	Heinrich Lautensack|Georg Rab|Sigmund Feyerabend and Heinrich Lautensack	German, 1561–1580|German		Lautensack, Heinrich|Rab, Georg|Feyerabend, Sigmund and Heinrich Lautensack	German|German|German	1561      	1580      	1564	1564	1564	Woodcuts	Overall: 11 3/4 x 8 1/4 x 1/2 in. (29.9 x 21 x 1.3 cm)	Harris Brisbane Dick Fund, 1925												Books		http://www.metmuseum.org/art/collection/search/352997	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
230287	37.39.5	False	True	356047	Drawings and Prints	Book	Margarita Philosophica						Author|Artist|Printer	Written by	Gregorius Reisch|Urs Graf|Johann Schott	Swiss, Solothurn ca. 1485–1529/30 Basel|German, 1477–ca. 1548 Strasbourg		Reisch, Gregorius|Graf, Urs|Schott, Johann	German|Swiss|German	1485      |1477      	1529      |1548      	16 March 1504 or 17 April 1504	1504	1504	Woodcut	Overall: 8 7/8 x 6 1/8 x 2 3/4 in. (22.5 x 15.5 x 7 cm)	Harris Brisbane Dick Fund, 1937												Books		http://www.metmuseum.org/art/collection/search/356047	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
231056	46.134	False	True	356827	Drawings and Prints	Book	Underweissung der Proportzion und stellung der possen						Designer|Printer|Binder	Designed by|Printed by|Bound by	Erhard Schön|Christoff Zell|William Chatto	German, Nuremberg 1491–1542 Nuremberg|German, active Nuremberg, 1524–43		Schön, Erhard|Zell, Christoff|Chatto, William	German|German	1491      |1500      	1542      |1544      	1538	1538	1538	Woodcuts	Overall: 6 15/16 x 5 3/8 x 3/8 in. (17.7 x 13.7 x 1 cm)	Harris Brisbane Dick Fund, 1946												Books		http://www.metmuseum.org/art/collection/search/356827	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
232465	25.30.105	False	False	358270	Drawings and Prints	Book	Arismetrica: Valle Siculi						Author	Written by	Nicolaus Valla			Valla, Nicolaus				ca. 1490–1500	1485	1505			Harris Brisbane Dick Fund, 1925		Florence										Books		http://www.metmuseum.org/art/collection/search/358270	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
233269	35.93.1	False	False	359117	Drawings and Prints	Book ; Ornament and Architecture	An Attempt to Discriminate the Styles of Architecture						Architect|Publisher|Printer|Engraver		Thomas Rickman|Longman, Hurst, Rees and Orme|George Smith, Liverpool|William Miller	British, Maidenhead, Berkshire, 1776–1841|London|British, Edinburgh, Scotland 1796–1882 Sheffield		Rickman, Thomas|Longman, Hurst, Rees and Orme|Smith, George|Miller, William	British|British|British|British, Scottish	1776      |1790      |1800      |1796      	1841      |1830      |1850      |1882      	1825	1825	1825	Illustrations: etching and engraving	9 1/8 × 5 11/16 × 1 3/8 in. (23.2 × 14.5 × 3.5 cm)	Harris Brisbane Dick Fund, 1935												Books|Ornament & Architecture		http://www.metmuseum.org/art/collection/search/359117	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
234123	51.501.261	False	True	359981	Drawings and Prints	Print	Garden of Mathematical Sciences						Artist		Francesco Curti	Italian, 1603–1670		Curti, Francesco	Italian	1603      	1670      	17th century	1615	1670	Engraving		The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951												Prints		http://www.metmuseum.org/art/collection/search/359981	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
234159	19.73.85	False	True	360018	Drawings and Prints	Print	Melencolia I						Artist		Albrecht Dürer	German, Nuremberg 1471–1528 Nuremberg		Dürer, Albrecht	German	1471      	1528      	1514	1514	1514	Engraving; second state	sheet: 9 9/16 x 7 7/16 in. (24.3 x 18.9 cm) trimmed to plate line	Fletcher Fund, 1919												Prints		http://www.metmuseum.org/art/collection/search/360018	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
240103	2004.430	False	True	366319	Drawings and Prints	Drawing	An Alleyway between Houses						Artist	Attributed to	Théodore Rousseau	French, Paris 1812–1867 Barbizon		Rousseau, Théodore	French	1812      	1867      	1858	1858	1858	Pen and ink over graphite, squared in graphite	sheet: 14 5/16 x 11 in. (36.4 x 27.9 cm)	Gift of Jill Newhouse, 2004												Drawings		http://www.metmuseum.org/art/collection/search/366319	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
